wavelength,Neat Wt,Ferrous Wt,Neat Wt,Ferrous Wt
700,0.04272595,0.044271233,0.21362975,0.221356167
699.5,0.04267865,0.0442552,0.21339325,0.221276
699,0.04264325,0.044239067,0.21321625,0.221195333
698.5,0.042609,0.044214867,0.213045,0.221074333
698,0.0425799,0.044202033,0.2128995,0.221010167
697.5,0.04254525,0.044180233,0.21272625,0.220901167
697,0.04251175,0.044161833,0.21255875,0.220809167
696.5,0.04247775,0.044153167,0.21238875,0.220765833
696,0.04245315,0.044136533,0.21226575,0.220682667
695.5,0.04242865,0.044121133,0.21214325,0.220605667
695,0.0424107,0.044107133,0.2120535,0.220535667
694.5,0.04240135,0.044097467,0.21200675,0.220487333
694,0.04237795,0.044091033,0.21188975,0.220455167
693.5,0.04235695,0.0440861,0.21178475,0.2204305
693,0.042345,0.044082333,0.211725,0.220411667
692.5,0.04234515,0.0440725,0.21172575,0.2203625
692,0.04232865,0.044070167,0.21164325,0.220350833
691.5,0.04232445,0.0440739,0.21162225,0.2203695
691,0.0423288,0.0440661,0.211644,0.2203305
690.5,0.04231665,0.044065767,0.21158325,0.220328833
690,0.0423295,0.044066,0.2116475,0.22033
689.5,0.0423343,0.044066767,0.2116715,0.220333833
689,0.04234635,0.044072533,0.21173175,0.220362667
688.5,0.0423511,0.044077033,0.2117555,0.220385167
688,0.04237615,0.044078467,0.21188075,0.220392333
687.5,0.04238145,0.044076767,0.21190725,0.220383833
687,0.04238665,0.044088,0.21193325,0.22044
686.5,0.04239505,0.044098233,0.21197525,0.220491167
686,0.0423986,0.044104233,0.211993,0.220521167
685.5,0.04240545,0.044125,0.21202725,0.220625
685,0.042396,0.0441327,0.21198,0.2206635
684.5,0.0423933,0.044139667,0.2119665,0.220698333
684,0.04239685,0.044151367,0.21198425,0.220756833
683.5,0.0423998,0.044163967,0.211999,0.220819833
683,0.04240765,0.044179,0.21203825,0.220895
682.5,0.04241665,0.0441928,0.21208325,0.220964
682,0.04242295,0.0442181,0.21211475,0.2210905
681.5,0.04244895,0.044226167,0.21224475,0.221130833
681,0.0424817,0.044249867,0.2124085,0.221249333
680.5,0.0425025,0.044267333,0.2125125,0.221336667
680,0.04251705,0.044283833,0.21258525,0.221419167
679.5,0.0425552,0.044299967,0.212776,0.221499833
679,0.0425903,0.044314333,0.2129515,0.221571667
678.5,0.0426313,0.044328333,0.2131565,0.221641667
678,0.042674,0.044336567,0.21337,0.221682833
677.5,0.0427157,0.044347933,0.2135785,0.221739667
677,0.042752,0.044361767,0.21376,0.221808833
676.5,0.04280475,0.0443824,0.21402375,0.221912
676,0.0428599,0.044409633,0.2142995,0.222048167
675.5,0.04291005,0.044436767,0.21455025,0.222183833
675,0.0429672,0.044457133,0.214836,0.222285667
674.5,0.0430221,0.044477667,0.2151105,0.222388333
674,0.04308155,0.044501033,0.21540775,0.222505167
673.5,0.04313755,0.0445188,0.21568775,0.222594
673,0.04320495,0.044540367,0.21602475,0.222701833
672.5,0.04327265,0.04457,0.21636325,0.22285
672,0.0433466,0.044587733,0.216733,0.222938667
671.5,0.04342165,0.044602,0.21710825,0.22301
671,0.04349325,0.044627167,0.21746625,0.223135833
670.5,0.04358275,0.0446523,0.21791375,0.2232615
670,0.0436676,0.044680767,0.218338,0.223403833
669.5,0.0437588,0.0447178,0.218794,0.223589
669,0.0438454,0.044737767,0.219227,0.223688833
668.5,0.04394175,0.044750233,0.21970875,0.223751167
668,0.0440373,0.044774967,0.2201865,0.223874833
667.5,0.0441326,0.044810533,0.220663,0.224052667
667,0.04423885,0.044831267,0.22119425,0.224156333
666.5,0.04433915,0.044854467,0.22169575,0.224272333
666,0.04444935,0.044870367,0.22224675,0.224351833
665.5,0.0445538,0.044890033,0.222769,0.224450167
665,0.04467865,0.0449211,0.22339325,0.2246055
664.5,0.04479035,0.0449575,0.22395175,0.2247875
664,0.04491845,0.044990133,0.22459225,0.224950667
663.5,0.0450521,0.045015467,0.2252605,0.225077333
663,0.0451814,0.045048633,0.225907,0.225243167
662.5,0.0453147,0.045080567,0.2265735,0.225402833
662,0.04544785,0.045112667,0.22723925,0.225563333
661.5,0.04559895,0.045145633,0.22799475,0.225728167
661,0.0457326,0.045174933,0.228663,0.225874667
660.5,0.0458872,0.045194967,0.229436,0.225974833
660,0.0460368,0.0452159,0.230184,0.2260795
659.5,0.0461903,0.045257367,0.2309515,0.226286833
659,0.04635525,0.045286867,0.23177625,0.226434333
658.5,0.046523,0.045314367,0.232615,0.226571833
658,0.04669465,0.0453337,0.23347325,0.2266685
657.5,0.04687105,0.0453571,0.23435525,0.2267855
657,0.0470526,0.045374367,0.235263,0.226871833
656.5,0.04722975,0.045398767,0.23614875,0.226993833
656,0.0474059,0.045423367,0.2370295,0.227116833
655.5,0.0475859,0.045425433,0.2379295,0.227127167
655,0.04775695,0.0454482,0.23878475,0.227241
654.5,0.047942,0.045471567,0.23971,0.227357833
654,0.04812725,0.045506667,0.24063625,0.227533333
653.5,0.04830595,0.045538333,0.24152975,0.227691667
653,0.0484948,0.045575567,0.242474,0.227877833
652.5,0.04868825,0.0456117,0.24344125,0.2280585
652,0.0488854,0.045654467,0.244427,0.228272333
651.5,0.0490698,0.045699367,0.245349,0.228496833
651,0.04926575,0.0457361,0.24632875,0.2286805
650.5,0.04944625,0.045780533,0.24723125,0.228902667
650,0.04962435,0.045826867,0.24812175,0.229134333
649.5,0.0498148,0.0458787,0.249074,0.2293935
649,0.0499957,0.0459316,0.2499785,0.229658
648.5,0.0501757,0.045993767,0.2508785,0.229968833
648,0.050345,0.046046067,0.251725,0.230230333
647.5,0.0505193,0.046106333,0.2525965,0.230531667
647,0.05068205,0.046167467,0.25341025,0.230837333
646.5,0.0508499,0.046231767,0.2542495,0.231158833
646,0.0510169,0.046290967,0.2550845,0.231454833
645.5,0.0511717,0.046350567,0.2558585,0.231752833
645,0.05131995,0.046421333,0.25659975,0.232106667
644.5,0.05146705,0.046482367,0.25733525,0.232411833
644,0.0516142,0.046550033,0.258071,0.232750167
643.5,0.05176285,0.046620167,0.25881425,0.233100833
643,0.0519183,0.046699833,0.2595915,0.233499167
642.5,0.05206755,0.046770067,0.26033775,0.233850333
642,0.0522192,0.046849033,0.261096,0.234245167
641.5,0.0523642,0.046932633,0.261821,0.234663167
641,0.052509,0.0470006,0.262545,0.235003
640.5,0.05265215,0.047086067,0.26326075,0.235430333
640,0.0527935,0.047170633,0.2639675,0.235853167
639.5,0.0529273,0.047256267,0.2646365,0.236281333
639,0.05305885,0.0473437,0.26529425,0.2367185
